"","GEOID","Tract","INDI_1_21n1_fam","INDI_1_21n1_sing_women","INDI_1_31n4","INDI_1_31n3","INDI_1_31n7","INDI_1_31n8","INDI_4_22n1","INDI_4_31n1","INDI_4_31n2","INDI_4_31n3","INDI_4_31n4","INDI_4_31n5","INDI_4_31n6","INDI_8_52n1","INDI_8_61n1","INDI_8_61n2_1","INDI_8_61n2_2","Disc_labor","Disc_sc_enroll","STEM_major","INDI_9_22n1","INDI_9_c1n1","inad_plum","inad_rooms","INDI_11_31n2","use_pub_trans","Earn_lessthan_35K_30p_house_cost","percent_of_renters"
"1","","","Current poverty levels as defined by USA, by sections of the population. {family}(des)","Current poverty levels as defined by USA, by sections of the population. {single women}(des)","Percent of people covered by at least one social protection benefit, by sections of the population (FOOD STAMPS) (des)","Percentage of population receiving TANF, by sections of the population","Percent of people with disabilities receiving disability cash benefit (Unemploy)","Unemploy below poverty level, receiving cash benefits","Percentage of 3, and 4 year children attending preschool programs, by section of population.Census 3 to 4 year olds enrolled in school (asc)","Percentage of adults with did not complete high school or high school equivalency, by section of population. {%s high school completeion}.Adults with less than high school (25 yeards old or higher)(desc)","Percentage of adults that complete high school or high school equivalency, by section of population.","Percentage of adults who have attending college, by section of population","Percentage of adults who have earned a 1 year or 2 year professional certificate or an Associates Degree, by section of population.","Unemployment rate, by section of population.","Employment rate of youth ages 15 - 21, by section of the population.Unemployment 16 to 19 years (asc)","Percentage of adults who have earned a Graduate degree or higher, by section of population","High school completion rate, by section of the population. Over 25 years that completed high school (asc)","High school completion rate, by section of the population. Population between 18 and 24 that completed highschool(asc)","Disconected participation labor force of the young","Disconected school enroll of the young","Percent of adults that studied in a STEM field","Ratio of manufacturing jobs to all jobs, by section of population (des)","Availability of high speed data services. (percentage of homes)(asc)","Inadequate Plumbing","Inadequate N of rooms","Ratio of available housing stock to population growth. (affordability). 35% or more of household income (des)","Use public transportation to go to work when they have a vehicle available","Earn less than 35k and spend more than 30% in housing cost","Percent of families that live in a rented place",""
"306","42003510000","Census Tract 5100, Allegheny County, Pennsylvania","31.8","35.5","52.1","135","0.0450751252086811","0.0156928213689482","0","92.3","0.506208213944604","0.225405921680993","0.0936007640878701","0.0735434574976122","0.0238777459407832","6.7","61.3","92.3","23","49.804347826087","0.527173913043478","0.196078431372549","1.4","57","0","0","49.03","0.359154929577465","40.4","0.726474278544542"
"307","42003512000","Census Tract 5120, Allegheny County, Pennsylvania","19.5","35.7","21.5","105","0.0138674884437596","0.0223420647149461","66.7","91.4","0.482218203737191","0.167570825798674","0.146473779385172","0.0934297769740808","0.024713682941531","8.7","55.7","91.4","9.4","60.6396226415094","0.606918238993711","0.157407407407407","13.3","65.4","0","0.0206093189964158","37.07","0.0452209660842754","29.6","0.507168458781362"
"308","42003512800","Census Tract 5128, Allegheny County, Pennsylvania","52.5","64.6","42.9","176","0.0837751855779427","0.0411452810180276","45.9","87","0.520238095238095","0.16547619047619","0.130952380952381","0.0261904761904762","0.0273809523809524","18.6","41.3","87","39","41.3728813559322","0.576271186440678","0.204081632653061","3.3","64.2","0","0","66.88","0.507462686567164","46.6","0.563011456628478"
"309","42003512900","Census Tract 5129, Allegheny County, Pennsylvania","23.7","43.7","39.2","55","0.0498652291105121","0.0400269541778976",,"87.9","0.375527426160338","0.271448663853727","0.132208157524613","0.0815752461322082","0.0182841068917018","10.7","47.4","87.9","21.4","5.79710144927536","0.565217391304348","0.267605633802817","13.4","63.9","0","0.0137254901960784","53.18","0.309963099630996","31.6","0.443137254901961"
"310","42003513800","Census Tract 5138, Allegheny County, Pennsylvania","25.3","31.3","34.5","92","0.0662251655629139","0.029205298013245","0","82.6","0.512605042016807","0.158899923605806","0.0687547746371276","0.0603514132925898","0.0252100840336134","13.3","36.4","82.6","9.7","45.2","0.426229508196721","0.163793103448276","6.2","51.9","0","0.00574712643678161","67.45","0.475","45.6","0.557471264367816"
"311","42003514000","Census Tract 5140, Allegheny County, Pennsylvania","25.6","39.7","48.1","137","0.0775706554419723","0.0251352976548406","10.7","89.3","0.397879858657244","0.200706713780919","0.132862190812721","0.080565371024735","0.080565371024735","12.1","62.1","89.3","13.4","72.8559748427673","0.641509433962264","0.102127659574468","3.4","67.1","0.0106044538706257","0.024390243902439","27.65","0.417098445595855","30","0.711558854718982"
"312","42003515100","Census Tract 5151, Allegheny County, Pennsylvania","13.5","30","31.4","91","0.0751811594202899","0.0160778985507246","57.3","94.7","0.37183936539415","0.216658403569658","0.140803173029251","0.171541893901834","0.0461080813088746","11.3","61.4","94.7","11.6","73.2052631578947","0.359649122807018","0.195652173913043","3.2","74.3","0","0.0274277242401779","47.68","0.33076263924593","35.7","0.610822831727205"
"313","42003515200","Census Tract 5152, Allegheny County, Pennsylvania","0","0","10","0","0.0174216027874564","0.00801393728222997","24.4","97.6","0.226962457337884","0.137087599544937","0.121729237770193","0.249146757679181","0.241183162684869","6.6","67.2","97.6","34.3","57.489605734767","0.652329749103943","0.200431034482759","11.2","80.6","0","0","31.81","0.20625528317836","24.4","0.555938037865749"
"314","42003515300","Census Tract 5153, Allegheny County, Pennsylvania","13.2","13.3","21.1","47","0.0620313565098841","0.0190184049079755","44.4","86","0.314396887159533","0.171984435797665","0.0700389105058366","0.170428015564202","0.133073929961089","13.1","53.6","86","19.4","84.019","0.565","0.235294117647059","3.3","62.7","0","0.0228571428571429","38.46","0.251543209876543","33.7","0.549714285714286"
"315","42003515401","Census Tract 5154.01, Allegheny County, Pennsylvania","8.9","0","8","48","0.0214592274678112","0.0260729613733906","70.7","94.6","0.1875","0.109375","0.0844907407407407","0.276041666666667","0.288194444444444","6.7","65.7","94.6","14.5","41.5628415300546","0.775956284153005","0.303675048355899","8.7","82.6","0","0","37.58","0.298379408960915","17.7","0.339512195121951"
