"","GEOID","Goal3.4.1.1","Goal3.4.1.2","Goal3.4.1.3","Goal2.2","Goal3.5.1.3","Goal2.1","Goal5.1","Goal10.2","Goal10.3","Goal.341","Goal.2","Goal.3","Goal.5","Goal.10","Culture"
"1","42003010300",87.7777777777778,93.4673366834171,86.9565217391304,65.3125,13.8755980861244,60.7438016528926,47.06222808586,25.4127568661829,81.7158802601159,89.4005454001084,63.0281508264463,51.6380717431164,47.06222808586,53.5643185631494,53.823192304643
"2","42003020100",58.8888888888889,85.427135678392,80,82.1875,22.4880382775119,92.9752066115702,9.92094766181401,29.4631370218142,99.2873028487684,74.7720081890936,87.5813533057851,48.6300232333028,9.92094766181401,64.3752199352913,52.6268860340483
"3","42003020300",57.7777777777778,91.9597989949749,87.3913043478261,84.375,14.8325358851675,94.6280991735537,54.6888007264051,47.6704622769124,92.3285689900179,79.0429603735262,89.5015495867769,46.9377481293469,54.6888007264051,69.9995156334651,65.2819035189985
"4","42003030500",33.3333333333333,58.7939698492462,19.5652173913043,22.8125,85.6459330143541,34.297520661157,85.5172776821056,15.360850108716,10.3169931564159,37.2308401912946,28.5550103305785,61.4383866028244,85.5172776821056,12.838921632566,47.0873990620186
"5","42003040200",73.3333333333333,85.929648241206,73.0434782608696,65.625,48.8038277511962,34.297520661157,0.279789169212796,11.7178115991284,51.2697437194852,77.435486611803,49.9612603305785,63.1196571814996,0.279789169212796,31.4937776593068,36.2136210851494
"6","42003040400",37.7777777777778,73.3668341708543,76.0869565217391,98.75,60.7655502392344,100,0,14.3528749528318,83.503134533371,62.4105228234571,99.375,61.5880365313458,0,48.9280047431014,52.4727603186118
"7","42003040500",90,92.964824120603,91.7391304347826,78.125,39.7129186602871,95.8677685950413,100,25.4644124731259,91.6666222859252,91.5679848517952,86.9963842975207,65.6404517560411,100,58.5655173795255,77.8005883582718
"8","42003040600",85.5555555555556,91.4572864321608,90.8695652173913,81.5625,28.2296650717703,96.6942148760331,84.6056916316838,21.9403790993713,95.9390549769676,89.2941357350359,89.1283574380165,58.7619004034031,84.6056916316838,58.9397170381695,72.8589166278182
"9","42003040900",63.3333333333333,79.8994974874372,70,65.3125,42.5837320574163,83.0578512396694,100,17.7017674037873,85.1043739964588,71.0776102735902,74.1851756198347,56.8306711655032,100,51.403070700123,70.6047293713652
"10","42003050100",30,51.7587939698492,4.78260869565217,9.99999999999999,92.3444976076555,17.3553719008264,100,22.4192857702467,8.42401050345942,28.8471342218338,13.6776859504132,60.5958159147447,100,15.421648136853,47.4237875005027
"11","42003050600",18.8888888888889,61.8090452261307,35.6521739130435,42.5,81.8181818181818,62.8099173553719,,21.1801224918399,22.5452589436502,38.7833693426877,52.6549586776859,60.3007755804348,,21.862690717745,44.9394749919552
"12","42003050900",44.4444444444444,51.7587939698492,6.52173913043478,0.312499999999982,98.5645933014354,16.9421487603306,100,26.7881184086398,2.96405226068516,34.2416591815762,8.62732438016528,66.4031262415058,100,14.8760853346625,47.4766339890834
"13","42003051000",72.2222222222222,80.4020100502512,59.1304347826087,50,45.933014354067,43.3884297520661,100,13.6537945762208,54.5294628346331,70.5848890183607,46.6942148760331,58.2589516862138,100,34.0916287054269,59.7611988169185
"14","42003051100",70,82.4120603015075,51.7391304347826,24.6875,69.8564593301436,7.85123966942148,,41.9940731480735,,68.0503969120967,16.2693698347107,68.9534281211201,,41.9940731480735,42.4056237013015
